"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"28","アイラ","","ツカサが一緒にいるだけで、心強いよ","","",""
"29","ツカサ","","そう言ってくれると、ありがたいよ","","",""
"30","","","というわけで、俺たちは更衣室へと向かった。","","",""
"31","","","はじめて着るタキシードは、果たして自分に似合っているのかすごく不安だったけど、サイズはばっちりだった。","","",""
"32","","","着替えを終えてアイラと合流し、船内のレストランへ。","","",""
"33","","","レストランに入る前にチラッと窓の外を見たら、すでに船は出航していて、遠くに街の明かりが見えていた。","","",""
"34","ツカサ","","…………","","",""
"35","アイラ","","……ツカサ？","","",""
"36","ツカサ","","…………","","",""
"37","アイラ","","ツカサ","","",""
"38","ツカサ","","え？　な、なに？","","",""
"39","アイラ","","ボーッとして、どうしたの？","","",""
"40","ツカサ","","ああ、ごめん。……アイラのドレス姿が、すごくキレイで","","",""
"41","アイラ","","本当？","","",""
"42","ツカサ","","いつもよりずっと大人っぽいよ","","",""
"43","アイラ","","ありがとう","","",""
"44","","","落ち着いた雰囲気のレストランは、年配のお客さんが多くて、一言で言ってしまえば“大人の来る店”だ。","","",""
"45","","","その中で俺とアイラだけが、明らかに浮いていた。","","",""
"46","","","おかげで、あまり大きな声で話しづらい。","","",""
"47","ツカサ","","そういうドレスを選ぶセンスは、さすがコンスタンスだよね。俺じゃ、選べないなあ","","",""
"48","アイラ","","コンスタンスさまさまだね","","",""
"49","ツカサ","","俺のタキシードはどう？","","",""
"50","アイラ","","う～ん……","","",""
"51","ツカサ","","え？　なになに？　正直に言ってくれていいよ","","",""
"52","アイラ","","なんだか、着こなしてるっていうより、服に着られてる感じ","","",""
"53","","","服に……着られてる……か。","","",""
"54","ツカサ","","なるほど……そっか……","","",""
"55","ツカサ","","やっぱり、人生経験の浅さが出ちゃうのかもね","","",""
"56","","","ほんの数ヶ月前まで、学生やってたしね……。","","",""
"57","アイラ","","ツカサは、スーツもいまいち似合ってない印象があった","","",""
"58","アイラ","","もっとラフな格好の方が、似合うと思う。私は、普段見慣れてるターミナルサービスの制服姿が好き","","",""
"59","ツカサ","","……好きなの？","","",""
"60","アイラ","","うん","","",""
"61","ツカサ","","そっか。だったら、タキシードが似合わなくても、全然平気かな","","",""
"62","アイラ","","あと２０年ぐらいしたら、きっと似合うようになるよ","","",""
"63","ツカサ","","あはは。先は長いなあ","","",""
"64","","","そしてその２０年後に、アイラはいないんだ。\nそれを考えると寂しくなっちゃうから、慌てて頭の中から振り払った。","","",""
"65","ツカサ","","一応、こういう場所での食事のマナーは、勉強してきたけど。うまくできるか心配だなぁ","","",""
"66","アイラ","","私は、ばっちり記憶してきたので","","",""
"67","ツカサ","","ギフティアは、一度覚えたことは忘れないもんね","","",""
"68","アイラ","","そういうこと","","",""
"69","ツカサ","","でもアイラの場合、うっかりナイフを落としちゃったりする方が心配かも","","",""
"70","アイラ","","それは……私も心配","","",""
"71","","","と、そこへウェイターさんがやってきた。\n背筋がピンと伸びた、すごくかっこいい人だ。","","",""
"72","ウェイター","","本日はようこそ、お越しいただきました。これより、お料理をお持ちいたします","","",""
"73","ツカサ","","あ、はい。よろしくお願いします","","",""
"74","ウェイター","","食前酒はお持ちしますか？","","",""
"75","ツカサ","","未成年なので、だ、大丈夫です","","",""
"76","ウェイター","","かしこまりました。では、前菜からお持ちいたしますね","","",""
"77","","","ウェイターさんは、イヤな顔ひとつせず、紳士に対応してくれた。","","",""
"78","ツカサ","","あ、よく考えたら、アイラは食前酒は飲んでもいいんだっけ？","","",""
"79","アイラ","","うん。大丈夫だよ","","",""
"80","","","なにしろ、ギフティアだから。人と違って、年齢制限はないんだった。","","",""
"81","アイラ","","ギフティアは、飲んでも酔わないし","","",""
"82","ツカサ","","もし仮に酔っ払ったら、アイラはどんな感じになるのかな？","","",""
"83","アイラ","","酔っ払うことに、あんまりいい印象はないので","","",""
"84","ツカサ","","カヅキさんを見てるから？","","",""
"85","アイラ","","正解","","",""
"86","","","あの人の酔い方は、確かにひどいもんね。","","",""
"87","","","でも、たとえば……。","","",""
"88","アイラ","","ちゅかさ……。私、酔っちゃったみたい……なのれ","","",""
"89","","","そんな風にかわいく酔ってくれるなら、それはそれで見てみたい気がする。","","",""
"90","","","俺たちが話している間に、前菜が運ばれてきた。","","",""
"91","","","前菜は色鮮やかな料理だった。","","",""
"92","","","席に備え付けられたメニュー表を見ると、サーモンのジュレって書いてある。ジュレって確か、ゼリーって意味だよね。","","",""
"93","","","こういう本格的な料理が運ばれてくると、やっぱり緊張してしまう。","","",""
"94","","","そして俺以上に、アイラの方が緊張でカチカチになっている。","","",""
"95","","","だからこそ、俺がしっかりしなきゃ、と思うことができた。","","",""
"96","ツカサ","","アイラ、落ち着いて。俺だけを見るんだ","","",""
"97","アイラ","","ツカサ……","","",""
"98","ツカサ","","周りは見なくていいからね？　そうしたら、寮の部屋でいつも一緒に食事しているのと、なにも変わらないって思えてくるはず","","",""
"99","アイラ","","わ、分かった","","",""
"100","アイラ","","ツカサだけ、見てる","","",""
"101","アイラ","","あ、でも","","",""
"102","アイラ","","ツカサだけ見てたら、どんな料理が出てきたか、分からない……","","",""
"103","ツカサ","","チ、チラっと見るぐらいなら、大丈夫だよ","","",""
"104","アイラ","","そう？　よかった","","",""
"105","アイラ","","やっぱり、いざっていうときは頼りになるね","","",""
"106","ツカサ","","俺は、アイラの彼氏だからね","","",""
"107","アイラ","","ふふふ","","",""
"108","","","というわけで、お互い見つめ合ったまま、前菜を口に運んだ。","","",""
"109","アイラ","","……照れくさいね","","",""
"110","ツカサ","","でも、緊張するよりいいでしょ？","","",""
"111","アイラ","","うん。安心する","","",""
"112","","","そうは言いつつ、俺もかなり緊張しているんだけどね。\nおかげで、料理の味はよく分からなかった。","","",""
"113","","","おいしいのは間違いないんだけど、具体的にどうおいしいかなんていうことには、さっぱり考えが及ばなかった。","","",""
"114","","","前菜の次に来たのはサラダ。そしてスープ。パン。\nなんとか大きなミスを犯さずに、俺たちはそこまでクリアした。","","",""
"115","","","でも、次の魚料理まで来たとき、ついに事件は起こってしまった。","","",""
"116","アイラ","","…………","","",""
"117","","","アイラが、肝心の魚料理そっちのけで、その魚の上に乗っていたオリーブと格闘を始めたんだ。","","",""
"118","","","なんとかしてフォークで刺そうとしているんだけど、オリーブが丸っこいせいかつるんと滑ってうまくいかない。しかも、チラッとしか皿の方を見られないし。","","",""
"119","","","それでも諦めずにチャレンジし続けている。","","",""
"120","","","なにがそこまでオリーブに執着させるのか、よく分からないけど。","","",""
"121","","","そのアイラの様子を見ていて、イヤな予感がした、その直後。","","",""
"122","アイラ","","あっ","","",""
"123","","","アイラがフォークで刺すのをミスしたオリーブが１個、皿の上から弾かれてテーブルを転がり、そのまま床へと落ちていった。","","",""
"124","","","一部始終を見ていた俺は、アイラと目を合わせて……。","","",""
"125","アイラ","","あわわ、ツ、ツツ、ツカサ……ど、どうしよ……","","",""
"126","ツカサ","","お、落ち着いて……！","","",""
"127","アイラ","","で、でもっ、オリーブが……！","","",""
"128","アイラ","","ウェイターさんが踏んだりしたら、大変……！","","",""
"129","","","せっかく緊張せずにここまで来たのに、オリーブひとつですっかりパニックになりつつある。","","",""
"130","ウェイターに事情を話す","自分で拾う","","","dummy","dummy"
"131","","","ここはかっこつけたり背伸びしている場合じゃない。","","",""
"132","","","俺は毅然とした態度で、ウェイターさんを呼んだ。","","",""
"133","ウェイター","","どういたしました？","","",""
"134","ツカサ","","実は、オリーブを床に落としてしまいまして","","",""
"135","ウェイター","","そうでしたか。どうぞお気になさらずに","","",""
"136","ツカサ","","すみません","","",""
"137","","","頭を下げると、ウェイターさんも爽やかな笑顔を俺とアイラに向けてくれた。","","",""
"138","","","そのままテーブルから立ち去り際に、何気なく床からなにか拾い上げる仕草をした。","","",""
"139","","","もしかして、今のでオリーブを回収した……！？","","",""
"140","","","なんて鮮やかな手際なんだ。","","",""
"141","","","しかも当事者である俺やアイラにはまったく気を遣わせないほどに自然な回収だった。","","",""
"142","ツカサ","","アイラ、もう大丈夫だよ","","",""
"143","アイラ","","うん。ごめんね、ツカサ……","","",""
"144","アイラ","","お店の人にも、迷惑かけちゃった","","",""
"145","ツカサ","","謝らなくていいって。もっと自然に楽しもう","","",""
"146","ツカサ","","ウェイターさんだって、怒ってなかったでしょ？","","",""
"147","アイラ","","うん……","","",""
"148","ツカサ","","みんな、それだけ大人なんだ。オリーブひとつで右往左往しない","","",""
"149","ツカサ","","俺たちはまだまだ子供だけど、だからこそそうした大人たちを見習って、できるだけ落ち着こう","","",""
"150","ツカサ","","それが、ここでのたしなみだと思う","","",""
"151","アイラ","","ツカサ……","","",""
"152","アイラ","","ツカサが、今、すごく大人っぽく見えた","","",""
"153","ツカサ","","そ、そう？　ちょっと開き直ったからかな？","","",""
"154","アイラ","","うん。ありがとう、ツカサ","","",""
"155","アイラ","","私も、もうちょっと開き直ってみる","","",""
"156","ツカサ","","そう来なくちゃ","","",""
"157","","","そうやってふたりで開き直ったら、緊張がかなり緩和された。","","",""
"158","","","おかげで、その後のメインディッシュである肉料理は、かなりゆっくりと味わうことができた。","","",""
"159","","","俺はすぐさま、床にじっと目を凝らして、オリーブを探した。","","",""
"160","","","でも、店内が間接照明でそれほど明るくないせいか、なかなか見つけられない。","","",""
"161","アイラ","","ツ、ツカサ……？","","",""
"162","ツカサ","","シッ","","",""
"163","","","なおも俺は意識を集中させた。","","",""
"164","","","あった！","","",""
"165","","","俺はすばやく立ち上がると、オリーブをさり気なく拾い上げようとして――。","","",""
"166","ツカサ","","あっ","","",""
"167","","","誤って、つま先で蹴ってしまった。","","",""
"168","","","オリーブはコロコロと隣のテーブルへと転がっていき、やがて見えなくなった。","","",""
"169","ツカサ","","……！","","",""
"170","アイラ","","…………！","","",""
"171","","","俺とアイラは顔を見合わせて、アワアワとした。","","",""
"172","","","ウェイターさんが怪訝そうな顔で俺を見ているのに気付き、慌てて元の席に戻る。","","",""
"173","ツカサ","","ごめん、回収失敗した……","","",""
"174","アイラ","","もういいの、こっちこそごめんね……","","",""
"175","ツカサ","","あそこでビシッとフォローできていたら、俺も少しは大人に近づけたかもしれないのになあ……","","",""
"176","ツカサ","","やっぱり、スマートさが足りないと思うんだ","","",""
"177","アイラ","","でも、私のために一生懸命になってくれたツカサのことが、私はとっても大好きだよ","","",""
"178","ツカサ","","アイラ……","","",""
"179","アイラ","","…………","","",""
"180","","","ただ、その後のメインディッシュである肉料理が来ても、リラックスできなくて、やっぱり味はよく分からないままだった。","","",""
"181","","","その後、食事を終えた俺たちはデッキへと移動した。\nアイラは、俺の腕をそっと握って、寄り添ってくる。","","",""
"182","","","波の音と潮の香りによって、今俺たちが海の上にいるんだっていうことを実感させる。","","",""
"183","アイラ","","宝石箱の中にいるみたい","","",""
"184","","","今は遠くに見える、街の光。\n船は、その街へと戻っている最中らしい。","","",""
"185","","","俺は思い出していた。","","",""
"186","","","アイラと初めて会ったときのこと。","","",""
"187","","","あのときも、ガラス張りのエレベーターから、こんな風に幻想的な夜景が見えていた。","","",""
"188","ツカサ","","アイラとはじめて会ったときの夜景と、どっちがキレイかな","","",""
"189","アイラ","","私も、同じこと考えてた","","",""
"190","ツカサ","","あのとき、アイラは泣いてたよね。今は平気？","","",""
"191","アイラ","","今は……ツカサと、一緒なので","","",""
"192","アイラ","","みんな、頑張って仕事して、笑い合って……恋をして。そんないくつもの物語が、あの光の中には溢れているんだろうな……","","",""
"193","ツカサ","","俺たちも、その中のひとつ……だよ","","",""
"194","アイラ","","うん……","","",""
"195","","","俺とアイラはそれきり黙りこむ。","","",""
"196","","","そっと、アイラの横顔を眺めてみた。","","",""
"197","","","アイラの瞳は、夜景やデッキの照明を映して、まるでそのものが夜空のようにキラキラと輝いていた。","","",""
"198","ツカサ","","…………","","",""
"199","アイラ","","…………","","",""
"200","","","俺の胸に、言葉にならない想いが溢れてきて、たまらずアイラの肩を自分の身体の方へと抱き寄せた。","","",""
"201","","","肩を寄せあって、お互いの体温を感じ合う。","","",""
"202","","","このディナークルーズでのつかの間の船旅は、俺たちにとってかけがえのない想い出になった。","","",""
