"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"64","","","アイラはプランターの前にしゃがんで、目の前の白い小さな花を見つめた。","","",""
"65","アイラ","","カモミールは１年草。ずっと葉が付いてるの","","",""
"66","アイラ","","種が勝手に落ちて、どんどん新しい芽が出てくるから、ほっといたら増え過ぎちゃう。良くないものがあったら、取り払った方がいい","","",""
"67","ツカサ","","分かった","","",""
"68","","","アイラの視線が隣のハーブへ移った。","","",""
"69","アイラ","","こっちのタイムは、夏の暑さに弱いので気を付けて","","",""
"70","アイラ","","逆にローズマリーは、暑さに強い。ただちゃんと手入れしないと、葉が茂り過ぎちゃって下の方が枯れちゃう。夏になったら一度収穫すべき","","",""
"71","ツカサ","","うん","","",""
"72","","","ハーブに視線を送りながら、アイラはよどみなく説明を続ける。","","",""
"73","","","ここには２０種類近いハーブがあるけど、アイラは言葉に迷わなかった。","","",""
"74","","","説明は簡潔で、的確。","","",""
"75","","","ハーブが好きなことは知ってたけど、ここまで詳しかったなんて。","","",""
"76","","","アイラのハーブに対する愛情が伝わってきて、なんだか微笑ましかった。","","",""
"77","アイラ","","どうかした？","","",""
"78","ツカサ","","アイラって、ハーブのことにすごく詳しいよね。かなり勉強した？","","",""
"79","アイラ","","育てはじめたときは、時間、いっぱいあったので","","",""
"80","アイラ","","それに、みんなが私の淹れたお茶、おいしいって言ってくれると、私はまだここにいていいんだ、って思えて","","",""
"81","ツカサ","","…………","","",""
"82","","","はじめて聞いた、アイラの気持ち。","","",""
"83","","","そうか、アイラにとってハーブは、ターミナルサービスのみんなと自分を繋ぐためのもの。","","",""
"84","","","かけがえのない、絆だったんだ。","","",""
"85","","","ここまで愛情を注げたのも、そのことがあったからなのかもしれない。","","",""
"86","アイラ","","もっと、いろいろ、育ててみたかったな","","",""
"87","","","アイラは穏やかな顔で、周囲のハーブを見回した。","","",""
"88","","","と、その視線は俺に止まった。","","",""
"89","アイラ","","……メモは、平気？","","",""
"90","ツカサ","","うん。ちゃんと取れてるよ","","",""
"91","ツカサ","","タイムは暑さに弱いから注意が必要で、ローズマリーは暑さに強い。ただ、茂り過ぎると――","","",""
"92","アイラ","","ふふっ","","",""
"93","アイラ","","さすが、ツカサはマニュアル人間。ちゃんとしてる","","",""
"94","ツカサ","","それって、褒め言葉？","","",""
"95","アイラ","","うん。ツカサのそういうところ、私は……","","",""
"96","","","アイラはふと言葉を止めて、頬を赤らめた。","","",""
"97","アイラ","","…………","","",""
"98","ツカサ","","あれ、続きは？","","",""
"99","アイラ","","ない","","",""
"100","ツカサ","","えっ、そうなの？","","",""
"101","アイラ","","言おうと思ったけど……今は仕事中なので","","",""
"102","","","アイラはすっと視線を逸らした。","","",""
"103","アイラ","","ハーブの説明、続けるね","","",""
"104","ツカサ","","あ、うん……","","",""
"105","","","アイラは気持ちを切り替えるように、一度深呼吸をして、再びハーブの説明をはじめた。","","",""
"106","アイラ","","説明は、こんなところ","","",""
"107","アイラ","","質問ある？","","",""
"108","ツカサ","","そうだなぁ……","","",""
"109","","","取ったばかりのメモを見返してみる。","","",""
"110","","","ハーブそれぞれの説明、水やりの時間、ハーブを摘むときのアドバイス、枯れたときの対処方法、オススメの肥料を売ってるお店の場所――。","","",""
"111","","","世話に必要な情報は、一通り揃ってると思う。","","",""
"112","ツカサ","","とりあえずは、大丈夫。あとは実際にやりながら覚えていくよ","","",""
"113","","","メモ帳をしまって、改めてハーブが茂るプランターを見回した。","","",""
"114","","","アイラが丁寧に見ていただけあって、どれも綺麗に葉を伸ばしている。","","",""
"115","","","……アイラの大切な想い出の場所。","","",""
"116","","","それを自分が引き継ぐんだと思うと、身が引き締まった。","","",""
"117","ツカサ","","……俺、頑張るよ","","",""
"118","ツカサ","","アイラみたいに、ここにあるハーブ、全部ちゃんと育てたい","","",""
"119","アイラ","","ツカサなら、きっとできる","","",""
"120","ツカサ","","そうかな？　でもアイラに追いつくには、もっと勉強しないとね","","",""
"121","","","まずは、アイラくらいハーブのことをスラスラ説明できるようになろうと思う。","","",""
"122","","","それくらいになれば、きっとハーブを枯らす心配はないはず。","","",""
"123","アイラ","","ツカサがよければ、仕事が終わってからでも、もっと教えるよ","","",""
"124","ツカサ","","……いいの？","","",""
"125","","","アイラは遠慮がちに、こくりとうなずいた。","","",""
"126","ツカサ","","それはありがたいかも。でも、アイラの負担にならない？","","",""
"127","アイラ","","ハーブのこと好きなので。好きな話をするのは、楽しい","","",""
"128","ツカサ","","そっか！　じゃあ、決まりだね","","",""
"129","ツカサ","","よろしくお願いします、アイラ先生","","",""
"130","アイラ","","せ、せんせい？","","",""
"131","ツカサ","","勉強教えるのは先生の仕事でしょ？","","",""
"132","アイラ","","そ、そっか。私が、先生……","","",""
"133","アイラ","","えへへ……","","",""
"134","","","アイラは照れくさそうに微笑んだ。","","",""
"135","","","帰宅後。","","",""
"136","","","簡単に夕食を済ませてから、ハーブ勉強会がはじまった。","","",""
"137","","","テーブルを占領するのは、アイラ愛用のハーブ参考書。","","",""
"138","","","どの本もかなり読み込んでるみたいで、付箋や蛍光ペンの印でいっぱいだ。","","",""
"139","","","参考書のほとんどはハーブの知識や育て方に関するものだけど、一応レシピ本なんてのもあった。","","",""
"140","ツカサ","","アイラはハーブを使った料理とか興味あったりするの？","","",""
"141","アイラ","","この本のこと？　これはミチル用","","",""
"142","ツカサ","","え、ミチル用？","","",""
"143","","","それって、どういう意味だろう？","","",""
"144","アイラ","","会社のハーブが茂り過ぎたとき、人にあげるようにしてるの。でも意味もなくあげると迷惑だから、誰にあげるべきか本で調べて決めてる","","",""
"145","ツカサ","","つまりレシピ本は、ミチルにあげるハーブを調べるための本で。だから、ミチル用？","","",""
"146","アイラ","","そういうこと","","",""
"147","ツカサ","","すごいね","","",""
"148","","","みんなのために、そこまでしてたんだ。","","",""
"149","アイラ","","料理以外だと、シェリーにローズマリーをあげたりしてる","","",""
"150","アイラ","","ローズマリーは乾燥させた後も香りが残るから、消臭剤として使えるの。部屋からヤスタカのニオイを消せるって、いつも喜んでくれる","","",""
"151","ツカサ","","あ、あはは……","","",""
"152","","","もし、自分がアイラにそんなことされたら、ショックで立ち直れないよ……。","","",""
"153","アイラ","","ハーブはね、育てるのも楽しいけど、それ以外にも楽しいことがたくさんあるの","","",""
"154","アイラ","","ハーブの歴史とか雑学が好きっていう人もいるみたい","","",""
"155","ツカサ","","雑学？","","",""
"156","アイラ","","昔ミントを税金として納めさせてた国があったとか、そういうの","","",""
"157","ツカサ","","へえ！　確かに、面白いね","","",""
"158","ツカサ","","自分が好きなハーブの話とか聞いたら、きっと楽しいんだろうな","","",""
"159","","","俺はまだ、アイラが淹れてくれたハーブくらいしか分からないけど。","","",""
"160","","","と思っていたら。","","",""
"161","アイラ","","ツカサが好きなマジョラムにも、たぶんなにかあると思う","","",""
"162","","","そう言ってアイラは少し小さめの本を手にとって、パラパラとページをめくる。","","",""
"163","","","マジョラムは、アイラに淹れてもらってはじめて知ったハーブだ。","","",""
"164","","","飲みやすいから、ほとんど毎日飲んでたりする。","","",""
"165","アイラ","","……見つけた。ここ、マジョラムのページ","","",""
"166","","","アイラは本を俺の方へ向けてくれる。","","",""
"167","","","そこにはマジョラムの写真からはじまって、効能、花言葉、歴史といった内容が書かれていた。","","",""
"168","ツカサ","","……長寿の、ハーブ？","","",""
"169","","","ふと目に入った文字。","","",""
"170","","","説明文によると、マジョラムは昔、薬草として使われていて人々の寿命を延ばしたことから、ラテン語で『より大きい』を意味するマジョラムっていう名前が付けられたという。","","",""
"171","","","以来マジョラムは長寿を象徴するハーブとされているとか。","","",""
"172","ツカサ","","…………","","",""
"173","","","アイラのことを考えると、長寿という言葉は皮肉のように感じられた。","","",""
"174","","","でも、なぜか。","","",""
"175","","","アイラは嬉しそうにしていた。","","",""
"176","アイラ","","マジョラムって、そういう意味だったんだ","","",""
"177","ツカサ","","……どうして、喜んでるの？","","",""
"178","アイラ","","だって、ツカサがずっと元気でいてくれたら、嬉しい","","",""
"179","アイラ","","ツカサは、大切な人だから","","",""
"180","ツカサ","","……！","","",""
"181","","","好きな人がいつまでも元気でいてくれたら、それはとても喜ばしいこと。","","",""
"182","","","当たり前のことのはずなのに、言われるまで気付かなかった。","","",""
"183","","","俺は寿命のことを気にし過ぎているのかもしれない。","","",""
"184","ツカサ","","……そう、だよね","","",""
"185","ツカサ","","俺も、アイラがずっと元気で、ずっと笑顔でいてくれたら、すごく嬉しいって思う","","",""
"186","ツカサ","","アイラのこと、大好きだから","","",""
"187","","","正直な気持ちを言葉にした。","","",""
"188","","","でも言ってから、急に恥ずかしくなってきた。","","",""
"189","","","一方アイラは気をよくしたみたいで、目をキラキラと輝かせている。","","",""
"190","アイラ","","私、お茶淹れてくる！　ツカサの好きなマジョラムティー","","",""
"191","","","興奮気味に立ち上がるアイラ。","","",""
"192","","","と、次の瞬間。","","",""
"193","アイラ","","――！","","",""
"194","","","ガンッ！　と思い切りテーブルに足をぶつけた。","","",""
"195","ツカサ","","アイラ、大丈夫！？","","",""
"196","アイラ","","だ、だだだ、だいじょうぶ……","","",""
"197","","","言葉とは裏腹に、テーブルに手をついたまま動けなくなっている。","","",""
"198","ツカサ","","無理しないで。お茶なら俺が淹れるから、ね？","","",""
"199","アイラ","","ダメ。自分でやりたいの","","",""
"200","","","痛みをこらえてプルプル震えながらも、頑として譲らないアイラ。","","",""
"201","","","だったら。","","",""
"202","ツカサ","","じゃあ、手伝いだけ。それならいいよね？","","",""
"203","","","アイラに教えられてばかりだった今日一日。だから、少しでも役に立ちたい。","","",""
"204","アイラ","","……手伝うだけ、なら","","",""
"205","ツカサ","","うん、分かってるって","","",""
"206","","","アイラに手を貸して、ゆっくりとキッチンへ移動する。","","",""
"207","","","夜はまだ浅い時間。勉強会もはじまったばかり。","","",""
"208","","","寝るまでの間に少しでもアイラの期待に応えよう。","","",""
"209","","","俺は心の中でそう決めた。","","",""
