"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"25","","","アイラはエルさんに指示されるより前に、ベッドに横たわった。","","",""
"26","","","エルさんもテキパキとコンソールを操作し、装置を作動させる。","","",""
"27","","","エルさんの言葉通り、装置によるスキャンは本当に数分で終わった。","","",""
"28","","","コンソールのモニタにアイラの身体の状態が表示され、エルさんはそれを一通りチェックしてうなずく。","","",""
"29","エル","","はい、異常なしです。アイラっち、お疲れ様でした","","",""
"30","","","あっさりしたものだなぁ……。","","",""
"31","ツカサ","","アイラ、お疲れ様","","",""
"32","アイラ","","うん。全然疲れてないけど","","",""
"33","","","ベッドから起き上がったアイラを、エルさんは寂しそうに見つめている。","","",""
"34","エル","","……これで、最後なんですね","","",""
"35","アイラ","","…………","","",""
"36","ツカサ","","…………","","",""
"37","エル","","アイラっち担当として、１年と３ヶ月ぐらいやってきましたが、本当に幸せでした","","",""
"38","エル","","こんな新人の私に、いつも辛抱強く付き合ってくれて、アイラっちには感謝しかないです","","",""
"39","アイラ","","エルは、最初は借りてきた猫みたいにおとなしかったのに","","",""
"40","エル","","アイラっちも、私が担当して最初の１年は、すごくおとなしかったじゃないですか。一言も喋らないときもありましたしね","","",""
"41","アイラ","","……それは、ごめんなさい","","",""
"42","","","アイラは俺と組む前は、かなり口数が少なくなっていたって聞いたけど。メンテのときもそうだったんだ。","","",""
"43","エル","","いえいえ、クールなアイラっちも好きでしたよ","","",""
"44","エル","","でも、やっぱりここ最近のアイラっちの方が、私、好きでした","","",""
"45","エル","","私の言動に、いちいちリアクション取ってくれて。すごく嬉しかったんです","","",""
"46","","","リアクションって言っても、アイラの反応って主に怯えたりドン引きしたりっていうネガティブなものばっかりだったような……。","","",""
"47","アイラ","","う、嬉しかったんだ……","","",""
"48","エル","","はい。だから、ついつい、調子に乗っちゃいました。すみません","","",""
"49","","","と、そこでエルは姿勢を正すと、アイラに向けて頭を下げた。","","",""
"50","エル","","アイラっち、今まで、ありがとうございました","","",""
"51","エル","","この海松エル、エンジニアとしてのキャリアの最初に、アイラっちを担当できて幸せでした","","",""
"52","","","エルさんが、アイラに握手を求めた。\nアイラがその手をおずおずと握る。","","",""
"53","エル","","私、オリヴィアのときは、ちゃんと、お別れできなかったんですよ","","",""
"54","","","寂しそうに笑って、エルさんはふと遠い目をした。","","",""
"55","エル","","私は、単なるご近所さんでしかなかったですから","","",""
"56","エル","","オリヴィアに寿命が迫っていたことも、回収されたことも、しばらくの間、知らないまま……","","",""
"57","エル","","そんなわけで、今回アイラっちときちんとお別れできることが、悲しいけど、幸せなんです","","",""
"58","アイラ","","エル……","","",""
"59","","","ギリギリまで、明るく茶化して、冗談ばかり言っていたけど。\nエルさんも、アイラとの別れには思うところがあるんだな……。","","",""
"60","エル","","いやあ、すみません、ついついマジに語ってしまいまして……","","",""
"61","","","エルさんがアイラの手を離した。","","",""
"62","エル","","最後に、もう一度頬ずりいいですか！？","","",""
"63","ツカサ","","エルさん……、せっかくいいこと言っていたのに","","",""
"64","エル","","あはは、この方が私らしいかな、と","","",""
"65","アイラ","","私は……","","",""
"66","アイラ","","エルのこと、苦手だった","","",""
"67","エル","","え？","","",""
"68","ツカサ","","アイラ……","","",""
"69","アイラ","","すぐベタベタしてくるし、こっちの話もあんまり聞いてくれないし、私の気持ちなんてお構いなしだし","","",""
"70","エル","","…………","","",""
"71","アイラ","","でも――","","",""
"72","アイラ","","お行儀のいいエルは想像できない","","",""
"73","アイラ","","エルのむちゃくちゃなところが、私にとって救いになったこともあるので","","",""
"74","アイラ","","これからも、そのままでいてほしい","","",""
"75","エル","","あ……","","",""
"76","エル","","はは……あはは……","","",""
"77","エル","","ま、参りましたねぇ……","","",""
"78","エル","","私なんかに、そんな、ちゃんとしたお別れの言葉を、くれるなんて……","","",""
"79","エル","","そんなこと言われたら、うう……","","",""
"80","エル","","うわあああん！　アイラっち～～～！","","",""
"81","アイラ","","ひゃっ！","","",""
"82","","","エルさんはアイラに抱きつくと、子供みたいに号泣し始めた。","","",""
"83","","","アイラが困ったように俺を見てくる。","","",""
"84","","","俺が笑ってうなずいてあげたら、アイラはエルさんの頭をそっと撫でた。","","",""
"85","ツカサ","","エルさん、まるでお母さんに甘えてる子供みたいですよ","","",""
"86","","","背の高さは、アイラの方がずっと低いのに。","","",""
"87","エル","","うう、だって、だって～……","","",""
"88","ツカサ","","ほら、アイラが、困ってるんですから……あんまり、泣かない方がいいですって","","",""
"89","","","そうは言いつつ、俺ももらい泣きしそうになるのをこらえるので、必死だった……。","","",""
"90","","","２日後――。","","",""
"91","","","アイラは、カヅキさんとコンスタンスの手で、無事に回収された。","","",""
"92","","","第１ターミナルサービスの全員が、その場に立ち合った。","","",""
"93","","","もちろん、エルさんも駆けつけてくれた。","","",""
"94","","","俺は結局、アイラには自分の気持ちを伝えられなかったな……。","","",""
"95","","","正直、これでよかったのかどうか分からない。","","",""
"96","","","パートナーとして、自分の手でアイラを回収すべきだったんじゃないかなんてことも、考えたりした。","","",""
"97","","","でも、アイラは最後はみんなに――もちろん俺にも――笑顔を浮かべてくれたから。","","",""
"98","","","その微笑みを見届けられただけで、救われた気持ちになった。","","",""
"99","","","さようなら、アイラ。","","",""
"100","","","俺が、恋したギフティア。","","",""
"101","","","――あれから、１ヶ月が経っていた。","","",""
"102","","","アイラが回収されてから、俺のパートナーは不在となっていた。","","",""
"103","","","ターミナルサービスをやめるべきかっていうことも考えたけど、そんなことしたら父さんや伍堂部長に顔向けできなくなる。そういうこともあって、踏ん切りが付かずにいた。","","",""
"104","","","しばらくはレンさんの下について事務仕事を手伝ったり、本来新人がやることになっているショールームでの短期の研修を受けたりして過ごしていた。","","",""
"105","","","それが、今日になって。","","",""
"106","カヅキ","","ツカサ、お前の新しいパートナーが決まった","","",""
"107","カヅキ","","本社で顔合わせしてこい。メンテナンスルームだ","","",""
"108","","","そう言われて、急遽、本社にやって来たわけだけど。","","",""
"109","","","うぅ、緊張するなあ……。","","",""
"110","","","正直なところ、新しいパートナーって言われても、ピンと来ない。","","",""
"111","","","俺にとってのマークスマンはアイラしかいないっていう、ヤスタカさんあたりに言わせれば“青臭い”感情だって、当然ながらあるし。","","",""
"112","","","ただ、だからって、俺がアイラと組むことは、もう二度とないんだ……。","","",""
"113","ツカサ","","ふう……","","",""
"114","ツカサ","","ごめんね、アイラ。新しいパートナーに、会ってくるよ","","",""
"115","","","誰にともなくそうつぶやいて、俺は歩き出した。","","",""
"116","","","指定されたメンテナンスルームに顔を出すと、なぜかそこにはエルさんがいた。","","",""
"117","ツカサ","","エルさん？　どうして……","","",""
"118","エル","","おや、ツカサっち。お待ちしてましたよ","","",""
"119","ツカサ","","待ってた？　どういうことです？","","",""
"120","ツカサ","","あ、まさか――","","",""
"121","ツカサ","","エルさんが実はギフティアで、俺の新しいパートナーです、とか言い出さないでくださいね！？","","",""
"122","エル","","おやおや？　もしかしてツカサっちは、この私とコンビを組みたいと、そういうことですかぁ？","","",""
"123","ツカサ","","違います……","","",""
"124","","","エルさんと組んだら、きっと疲れそうだ……。","","",""
"125","エル","","ツカサっちの新パートナーのギフティアは、新しくオーダーメイドしたものでしてね","","",""
"126","エル","","私が担当したんですよ","","",""
"127","エル","","エンジニアとしてはじめてのオーダー仕事でした","","",""
"128","ツカサ","","なるほど、そういうことですか","","",""
"129","","","ＳＡＩ社が会社用に使うギフティアは、社内のエンジニアが外見や性格等のオーダーを担当するって、聞いたことがある。","","",""
"130","","","エルさんは、部屋に鎮座しているハイバネートボックスを指し示した。","","",""
"131","","","そこに、俺の新しいパートナーとなるギフティアが眠っているみたいだ。","","",""
"132","ツカサ","","あれ、でも前に……","","",""
"133","ツカサ","","自分好みのギフティアをオーダーしようとしたら、こだわりすぎて逆に決められなかったって、話してませんでした？","","",""
"134","エル","","そうなんです","","",""
"135","エル","","なので今回も苦戦しました……。私の理想のギフティアを追い求める道は、際限がなくてですね","","",""
"136","ツカサ","","エルさんの理想じゃなくて、ターミナルサービスのマークスマンとしてちゃんとしたギフティアにしてほしいんですけど……","","",""
"137","エル","","まあまあ。きっとツカサっちも気に入ると思います","","",""
"138","","","エルさんは、ハイバネートボックスを展開させるスイッチを押した。","","",""
"139","","","ボックスが起き上がり、カバーが開いていく。","","",""
"140","","","手術着のようなワンピースを着ているそのギフティアの華奢な手足から、女性タイプだと分かった。","","",""
"141","エル","","いろいろ考えて、こうしました","","",""
"142","","","ようやくボックスのカバーが開ききって、ギフティアの顔が露わになった。その、まだ眠ったままの、いたいけな顔つきを見た瞬間に。","","",""
"143","ツカサ","","ああ……","","",""
"144","","","――このギフティアは、俺のパートナーだ。","","",""
"145","","","そんな感覚が、素直にすとんと、俺の心に、落っこちてきた。","","",""
"146","","","それは一目惚れの感覚と似ているけど。","","",""
"147","","","でも、きっと違う。","","",""
"148","","","決して、似ているわけじゃない。","","",""
"149","","","でも、同時に懐かしさを覚えたんだ。","","",""
"150","","","彼女の中には、かすかに、アイラの面影が息づいている。\nエルさんのアイラに対する想いが、込められているのかもしれない。","","",""
"151","","","と、そのギフティアが、そっと目を開いた。","","",""
"152","","","俺とエルさんとで、顔をのぞき込む。","","",""
"153","エル","","さあ、ツカサっち。自己紹介してください","","",""
"154","ツカサ","","えっと、俺、水柿ツカサです","","",""
"155","","","俺は、新たなパートナーとなるそのギフティアへと、手を差し出した。","","",""
"156","ツカサ","","今日から俺たちパートナーだね。よろしく","","",""
"157","","","彼女は、少し緊張した表情でうなずき、俺と握手をしようとして――。","","",""
"158","エル","","と、その前にーっ！","","",""
"159","","","なぜかエルさんが、俺との間に割って入るようにして、彼女に抱きついた。","","",""
"160","エル","","この子は、私の娘であり恋人であり嫁であり旦那ですから！","","",""
"161","ツカサ","","へ……？","","",""
"162","エル","","いいですか、繰り返しますよ。この子は、私の娘であり恋人であり嫁であり旦那なんです！","","",""
"163","エル","","よって、今後はなにをするにしても、私の許可を取って下さい！　いいですね？","","",""
"164","ツカサ","","えええー！？","","",""
"165","","","それはあまりにも突拍子のない要求で。","","",""
"166","","","俺の社会人１年目は、まだまだ平穏無事には終わりそうにないみたいだけど。","","",""
"167","","","きっと俺はこの先も――少なくとも、８１９２０時間後までは、このターミナルサービスでやっていく。やっていける。","","",""
"168","","","そんな予感がした。","","",""
