"アイラ","","じゃあ、お先にね、ツカサ","","",""
"ミチル","","……カヅキさんは気にするなって言ってくれるけど。やっぱり、私のせいだから","","",""
"ツカサ","","…………","","",""
"","","ミチルのお父さんが、寿命を過ぎてワンダラーになってしまったのは、３年前のことだ。その回収担当が、カヅキさんだった。","","",""
"","","具体的に、それがどんな状況だったのか。\n現場を見てない俺には把握する術もない。","","",""
"","","以前聞いたミチルの言葉によれば――","","",""
"ミチル","","カヅキさんが、父さんの機能停止プログラムを作動させるだけの、あとほんのわずかな時間さえあれば……そこで、終わっていた話","","",""
"ミチル","","だけど、そのときアール・セキュリティの連中が現れて……っ","","",""
"ミチル","","あいつら、カヅキさんや私の話なんて、聞こうともしなかった。とにかく強引に、父さんを……排除しようとした","","",""
"ミチル","","……それで刺激されたのか、父さんが私に襲いかかってきて、それをかばったカヅキさんが足に大怪我を負って","","",""
"","","そんなようなことを言ってたっけ。","","",""
"ミチル","","だから、こうしてきちんと自分の目と記憶に焼き付けて、自分のしたことの責任を忘れないようにしてるの","","",""
"ツカサ","","ミチルって、カヅキさんのこと、すごく尊敬してるよね","","",""
"ツカサ","","やっぱり、お父さんの件があったから？","","",""
"ミチル","","…………","","",""
"ミチル","","私、カヅキさんに本当にいろんなことを教えてもらってるから。おかげで今の私がいるの","","",""
"ミチル","","……父さんを亡くした後ね、私、ひとりぼっちになっちゃったのよ","","",""
"ミチル","","アンドロイドチルドレンなんだから当然よね。身寄りなんていないもの","","",""
"ミチル","","誰にも頼れなくて、精神的に参っちゃって。しばらく病院に入院してたの","","",""
"ミチル","","そしたら、私の病室にカヅキさんが顔を出すようになってね。松葉杖を突きながらよ？　しかも毎日","","",""
"ミチル","","私よりずっと大怪我してたのに","","",""
"ミチル","","それで、私なんかの話し相手になってくれた","","",""
"ミチル","","そのとき、カヅキさんはこう言ってくれたわ","","",""
"カヅキ","","ギフティアと所有者の心に寄り添うのが、ターミナルサービスの仕事だ","","",""
"カヅキ","","私は、お前の父親の代わりにはなってやれねえが、話し相手になら、なれる","","",""
"カヅキ","","せめて、お前が元気になるまではそうさせてほしい","","",""
"カヅキ","","でないと、お前の父親に、顔向けできねえよ……","","",""
"","","カヅキさんにとってその行為は、罪を償うような意味だったのかな。","","",""
"","","……いや。そうじゃない。","","",""
"ツカサ","","所有者と回収対象の気持ちに、寄り添う……","","",""
"ミチル","","そういうこと","","",""
"ミチル","","私はそんなカヅキさんを見て、ターミナルサービスに入りたいって思ったの","","",""
"ミチル","","というより、カヅキさんの下で働きたいって思った","","",""
"ミチル","","だからこそ、カヅキさんの足の怪我からは、目を逸らしちゃだめだって、自分に言い聞かせてるわけ","","",""
"ツカサ","","立派だな、ミチルは。前にも言ったけど","","",""
"ツカサ","","ぐすっ","","",""
"ミチル","","う……","","",""
"ミチル","","っていうか、なんでツカサが泣いてるのよ！","","",""
"ツカサ","","だって……","","",""
"ミチル","","ああ～、どうして私も、懲りずにまたあんたに話しちゃったのかしら！　ミスった！","","",""
"ミチル","","今のは忘れて！　きれいさっぱり！　いい！？","","",""
"ツカサ","","無理だって～","","",""
"ミチル","","無理じゃない。忘れなさいって！","","",""
"","","ムキになって、ミチルがつかみかかってくる。","","",""
"カヅキ","","ミチル、ツカサ！","","",""
"","","と、ちょうどそこへタイミングよくカヅキさんが姿を見せた。\n足はいつも通りだ。特にかばうような仕草も見せずに、普通に俺たちのところまで歩み寄ってくる。","","",""
"カヅキ","","なにやってんだ、お前ら？","","",""
"ミチル","","あ、いや、これは……","","",""
"ツカサ","","今、ミチルがいかにカヅキさんのことを尊敬しているかっていうのを、教えてもらっていたところです","","",""
"ミチル","","ちょっ、バラすな！","","",""
"","","いつものザックの“ミチルコントロール術”を見習ってみたら、意外とうまく行った。","","",""
"カヅキ","","お前なあ、恥ずかしいからあんまり私のこと喋るなよ","","",""
"ミチル","","すいません……","","",""
"ミチル","","でも、私は別に恥ずかしくありませんから","","",""
"","","さっき、思いっきり恥ずかしがってたけど……。","","",""
"カヅキ","","ま、そう言ってもらえる身としちゃ、ありがたいけどな","","",""
"カヅキ","","期待してるぞ、ミチル","","",""
"ミチル","","はい！","","",""
"カヅキ","","ツカサもな","","",""
"ツカサ","","はい","","",""
"カヅキ","","それと、ふたりとも、アイラのこと、よろしくな","","",""
"ツカサ","","……はい","","",""
"ミチル","","分かってます","","",""
"","","カヅキさんは一瞬、寂しげな笑みを浮かべると。","","",""
"カヅキ","","よし、いい時間だし、お前ら、飲みにいくか！","","",""
"ミチル","","それはちょっと","","",""
"ツカサ","","ええ！？","","",""
"","","あれだけカヅキさんのこと尊敬してるって言ってたのに、そこできっぱり断っちゃうの！？","","",""
"カヅキ","","なんだよミチル。たまにはいいだろ","","",""
"ミチル","","いえ。もう帰らないと寮の門限が","","",""
"","","門限なんてあったっけ？","","",""
"ミチル","","ツカサ、後は任せたわ","","",""
"ツカサ","","ちょ、ちょっと！？","","",""
"ミチル","","それじゃカヅキさん、お疲れ様でした！","","",""
"","","ミチルは頭を下げると、さっさとその場から立ち去ってしまった。","","",""
"","","俺はただただ言葉もなく、呆然と見送るしかない。","","",""
"","","切り替えが早いというか、なんというか……。","","",""
"カヅキ","","ツカサは行くよな","","",""
"ツカサ","","え……あの……","","",""
"カヅキ","","行・く・よ・な？","","",""
"ツカサ","","は、はい……","","",""
"","","俺みたいな新人じゃ、断れるわけもなかった。","","",""
