"번호","이름","닉네임","문장","이름번역","닉네임번역","문장번역"
"69","ツカサ","","ええと、とりあえずカヅキさんに聞いてみないと――","","",""
"70","アイラ","","いいよ","","",""
"71","ツカサ","","え？","","",""
"72","シェリー","","本当ですか？","","",""
"73","アイラ","","うん","","",""
"74","アイラ","","シェリーなら、安心して任せられるので","","",""
"75","アイラ","","こちらこそ、お願いします","","",""
"76","シェリー","","……っ","","",""
"77","シェリー","","精一杯、頑張ります","","",""
"78","","","アイラが差し出した手を、シェリーはそっと握りしめた。","","",""
"79","","","カヅキさんたちになにも話をしないまま決めちゃって、大丈夫だったのかな。","","",""
"80","","","俺としても、別にシェリーが担当になってくれることは、全然問題ないんだけど。","","",""
"81","シェリー","","では、失礼します。お休みなさい、アイラ、ツカサ","","",""
"82","アイラ","","うん。おやすみ","","",""
"83","ツカサ","","おやすみ。気を付けて帰ってね","","",""
"84","","","シェリーは、スポーツカー――ヤスタカさんの自家用車らしい――に乗り込むと、颯爽と走り去っていった。","","",""
"85","","","それを見送ってから、課長とカヅキさん、それとヤスタカさんに、さっきの件についての報告メールを送信した。","","",""
"86","ツカサ","","ねえアイラ。シェリーって、どんなギフティアなの？","","",""
"87","","","実はシェリーとは、そこまで交流がないんだよね。\nだから、どんな人となりなのか、いちまち分からないんだ。","","",""
"88","","","シェリーは、いつも仕事をしているイメージ、かな。\n夜、飲みに行くっていうタイプでもなさそうだし。","","",""
"89","","","後は、ヤスタカさん相手にいつも怒っている。\nたまに、エルさん相手にも怒っている。","","",""
"90","アイラ","","シェリーは、怒ると、カヅキよりも怖い","","",""
"91","ツカサ","","あはは、だよね……","","",""
"92","","","そこは俺の感じた通りだったみたいだ。","","",""
"93","アイラ","","でも、ああ見えて、すごく優しいよ","","",""
"94","ツカサ","","え？","","",""
"95","","","優しい……んだ。","","",""
"96","","","シェリーには悪いけど、そういうイメージはあんまりなかったなあ。","","",""
"97","アイラ","","あ、ツカサ、今、意外っていう顔した","","",""
"98","ツカサ","","う……","","",""
"99","","","見抜かれちゃった……。","","",""
"100","ツカサ","","シェリーには、内緒にしてね","","",""
"101","アイラ","","ふふっ、分かった","","",""
"102","ツカサ","","ただ……えっと、どの辺が、優しいの？","","",""
"103","アイラ","","シェリーのことを知っていけば、そのうち分かるよ","","",""
"104","ツカサ","","ええ～、教えてよ、アイラ～","","",""
"105","アイラ","","ダメ。シェリーに悪いので","","",""
"106","","","アイラは笑いながらそう言うと、寮の中へと戻っていった。","","",""
"107","ツカサ","","うーん、女の子ってやっぱり分からない……","","",""
"108","","","シェリーには、俺の知らない別の顔があるんだろうなあ。","","",""
"109","","","ちょっと想像してみたけど、シェリーが笑っているところをまったく想像できなかった。","","",""
"110","","","翌日。カヅキさんはシェリーの直談判を受け入れ、正式にアイラの回収担当がシェリーとヤスタカさんに決まった。","","",""
